id,title,source,category,tags,trust,description,collapsed_count,model_key,thumb_url,product_url,image_url
polywood-savannah-deep-seating-chair,Savannah Deep Seating Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-savannah-deep-seating-chair.jpg,https://www.polywood.com/products/savannah-deep-seating-chair-dj4751,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/qn1usdaw1bsfipes2amj.jpg?v=1743183339
polywood-savannah-dining-arm-chair,Savannah Dining Arm Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-savannah-dining-arm-chair.jpg,https://www.polywood.com/products/savannah-dining-arm-chair-dj475d200,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/l995qyhb1q0esgnisl9r.jpg?v=1740494533
polywood-grant-park-dining-arm-chair,Grant Park Dining Arm Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-grant-park-dining-arm-chair.jpg,https://www.polywood.com/products/grant-park-dining-arm-chair-tld220,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/dfj4wpijuw28tgpsn6pa.jpg?v=1738356048
polywood-acadia-deep-seating-chair,Acadia Deep Seating Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-acadia-deep-seating-chair.jpg,https://www.polywood.com/products/acadia-deep-seating-chair-ms4241,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/w0ih3bc5vfyct5ngpkfc_d910f30e-fefc-473a-bad8-1b06e7f11644.jpg?v=1762870034
polywood-acadia-dining-arm-chair,Acadia Dining Arm Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-acadia-dining-arm-chair.jpg,https://www.polywood.com/products/acadia-dining-arm-chair-ms424d200,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/xarfsk4pa7egpnr3aimi_71dbbf77-129e-4483-8e9e-7edf55c2ea1b.jpg?v=1762871216
polywood-braxton-deep-seating-chair,Braxton Deep Seating Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-braxton-deep-seating-chair.jpg,https://www.polywood.com/products/braxton-deep-seating-chair-4501,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/iot5lckzi0lcccfolpvu.jpg?v=1736814692
polywood-braxton-dining-arm-chair,Braxton Dining Arm Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-braxton-dining-arm-chair.jpg,https://www.polywood.com/products/braxton-dining-arm-chair-tgd280,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/l5fx443fwgktzbnebsaz.jpg?v=1737499342
polywood-chinoiserie-deep-seating-chair,Chinoiserie Deep Seating Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-chinoiserie-deep-seating-chair.jpg,https://www.polywood.com/products/chinoiserie-deep-seating-chair-ms4711,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/MS4711-GY149999.jpg?v=1778279560
polywood-chinoiserie-dining-arm-chair,Chinoiserie Dining Arm Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-chinoiserie-dining-arm-chair.jpg,https://www.polywood.com/products/chinoiserie-dining-arm-chair-mstgd290,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/exck8tzhykbbzg5f7s8z.jpg?v=1762869616
polywood-chippendale-dining-arm-chair,Chippendale Dining Arm Chair,POLYWOOD,HDPE / PE 板件可转化,HDPE / PE; poly lumber; recycled plastic; 板件 / 板条; 扶手椅,HDPE / poly lumber brand,HDPE / PE / poly lumber / recycled plastic；单把完整扶手椅产品图；板条或板件结构，适合发泡 PE / HDPE 板件、CNC 切割、螺丝装配参考。,,,thumbs/polywood-chippendale-dining-arm-chair.jpg,https://www.polywood.com/products/chippendale-dining-arm-chair-cdd200,https://cdn.shopify.com/s/files/1/0707/7147/4659/files/Group_4_8894b51f-656c-4270-9abc-4d77423f4b8c.png?v=1745418662
